ID,전화해지여부
TEST_00000,1473
TEST_00001,1473
TEST_00002,1473
TEST_00003,1473
TEST_00004,1473
TEST_00005,1473
TEST_00006,1473
TEST_00007,1473
TEST_00008,1473
TEST_00009,1473
TEST_00010,1473
TEST_00011,1473
TEST_00012,1473
TEST_00013,1473
TEST_00014,1473
TEST_00015,1473
TEST_00016,1473
TEST_00017,1473
TEST_00018,1473
TEST_00019,1473
TEST_00020,1473
TEST_00021,1473
TEST_00022,1473
TEST_00023,1473
TEST_00024,1473
TEST_00025,1473
TEST_00026,1473
TEST_00027,1473
TEST_00028,1473
TEST_00029,1473
TEST_00030,1473
TEST_00031,1473
TEST_00032,1473
TEST_00033,1473
TEST_00034,1473
TEST_00035,1473
TEST_00036,1473
TEST_00037,1473
TEST_00038,1473
TEST_00039,1473
TEST_00040,1473
TEST_00041,1473
TEST_00042,1473
TEST_00043,1473
TEST_00044,1473
TEST_00045,1473
TEST_00046,1473
TEST_00047,1473
TEST_00048,1473
TEST_00049,1473
TEST_00050,1473
TEST_00051,1473
TEST_00052,1473
TEST_00053,1473
TEST_00054,1473
TEST_00055,1473
TEST_00056,1473
TEST_00057,1473
TEST_00058,1473
TEST_00059,1473
TEST_00060,1473
TEST_00061,1473
TEST_00062,1473
TEST_00063,1473
TEST_00064,1473
TEST_00065,1473
TEST_00066,1473
TEST_00067,1473
TEST_00068,1473
TEST_00069,1473
TEST_00070,1473
TEST_00071,1473
TEST_00072,1473
TEST_00073,1473
TEST_00074,1473
TEST_00075,1473
TEST_00076,1473
TEST_00077,1473
TEST_00078,1473
TEST_00079,1473
TEST_00080,1473
TEST_00081,1473
TEST_00082,1473
TEST_00083,1473
TEST_00084,1473
TEST_00085,1473
TEST_00086,1473
TEST_00087,1473
TEST_00088,1473
TEST_00089,1473
TEST_00090,1473
TEST_00091,1473
TEST_00092,1473
TEST_00093,1473
TEST_00094,1473
TEST_00095,1473
TEST_00096,1473
TEST_00097,1473
TEST_00098,1473
TEST_00099,1473
TEST_00100,1473
TEST_00101,1473
TEST_00102,1473
TEST_00103,1473
TEST_00104,1473
TEST_00105,1473
TEST_00106,1473
TEST_00107,1473
TEST_00108,1473
TEST_00109,1473
TEST_00110,1473
TEST_00111,1473
TEST_00112,1473
TEST_00113,1473
TEST_00114,1473
TEST_00115,1473
TEST_00116,1473
TEST_00117,1473
TEST_00118,1473
TEST_00119,1473
TEST_00120,1473
TEST_00121,1473
TEST_00122,1473
TEST_00123,1473
TEST_00124,1473
TEST_00125,1473
TEST_00126,1473
TEST_00127,1473
TEST_00128,1473
TEST_00129,1473
TEST_00130,1473
TEST_00131,1473
TEST_00132,1473
TEST_00133,1473
TEST_00134,1473
TEST_00135,1473
TEST_00136,1473
TEST_00137,1473
TEST_00138,1473
TEST_00139,1473
TEST_00140,1473
TEST_00141,1473
TEST_00142,1473
TEST_00143,1473
TEST_00144,1473
TEST_00145,1473
TEST_00146,1473
TEST_00147,1473
TEST_00148,1473
TEST_00149,1473
TEST_00150,1473
TEST_00151,1473
TEST_00152,1473
TEST_00153,1473
TEST_00154,1473
TEST_00155,1473
TEST_00156,1473
TEST_00157,1473
TEST_00158,1473
TEST_00159,1473
TEST_00160,1473
TEST_00161,1473
TEST_00162,1473
TEST_00163,1473
TEST_00164,1473
TEST_00165,1473
TEST_00166,1473
TEST_00167,1473
TEST_00168,1473
TEST_00169,1473
TEST_00170,1473
TEST_00171,1473
TEST_00172,1473
TEST_00173,1473
TEST_00174,1473
TEST_00175,1473
TEST_00176,1473
TEST_00177,1473
TEST_00178,1473
TEST_00179,1473
TEST_00180,1473
TEST_00181,1473
TEST_00182,1473
TEST_00183,1473
TEST_00184,1473
TEST_00185,1473
TEST_00186,1473
TEST_00187,1473
TEST_00188,1473
TEST_00189,1473
TEST_00190,1473
TEST_00191,1473
TEST_00192,1473
TEST_00193,1473
TEST_00194,1473
TEST_00195,1473
TEST_00196,1473
TEST_00197,1473
TEST_00198,1473
TEST_00199,1473
TEST_00200,1473
TEST_00201,1473
TEST_00202,1473
TEST_00203,1473
TEST_00204,1473
TEST_00205,1473
TEST_00206,1473
TEST_00207,1473
TEST_00208,1473
TEST_00209,1473
TEST_00210,1473
TEST_00211,1473
TEST_00212,1473
TEST_00213,1473
TEST_00214,1473
TEST_00215,1473
TEST_00216,1473
TEST_00217,1473
TEST_00218,1473
TEST_00219,1473
TEST_00220,1473
TEST_00221,1473
TEST_00222,1473
TEST_00223,1473
TEST_00224,1473
TEST_00225,1473
TEST_00226,1473
TEST_00227,1473
TEST_00228,1473
TEST_00229,1473
TEST_00230,1473
TEST_00231,1473
TEST_00232,1473
TEST_00233,1473
TEST_00234,1473
TEST_00235,1473
TEST_00236,1473
TEST_00237,1473
TEST_00238,1473
TEST_00239,1473
TEST_00240,1473
TEST_00241,1473
TEST_00242,1473
TEST_00243,1473
TEST_00244,1473
TEST_00245,1473
TEST_00246,1473
TEST_00247,1473
TEST_00248,1473
TEST_00249,1473
TEST_00250,1473
TEST_00251,1473
TEST_00252,1473
TEST_00253,1473
TEST_00254,1473
TEST_00255,1473
TEST_00256,1473
TEST_00257,1473
TEST_00258,1473
TEST_00259,1473
TEST_00260,1473
TEST_00261,1473
TEST_00262,1473
TEST_00263,1473
TEST_00264,1473
TEST_00265,1473
TEST_00266,1473
TEST_00267,1473
TEST_00268,1473
TEST_00269,1473
TEST_00270,1473
TEST_00271,1473
TEST_00272,1473
TEST_00273,1473
TEST_00274,1473
TEST_00275,1473
TEST_00276,1473
TEST_00277,1473
TEST_00278,1473
TEST_00279,1473
TEST_00280,1473
TEST_00281,1473
TEST_00282,1473
TEST_00283,1473
TEST_00284,1473
TEST_00285,1473
TEST_00286,1473
TEST_00287,1473
TEST_00288,1473
TEST_00289,1473
TEST_00290,1473
TEST_00291,1473
TEST_00292,1473
TEST_00293,1473
TEST_00294,1473
TEST_00295,1473
TEST_00296,1473
TEST_00297,1473
TEST_00298,1473
TEST_00299,1473
TEST_00300,1473
TEST_00301,1473
TEST_00302,1473
TEST_00303,1473
TEST_00304,1473
TEST_00305,1473
TEST_00306,1473
TEST_00307,1473
TEST_00308,1473
TEST_00309,1473
TEST_00310,1473
TEST_00311,1473
TEST_00312,1473
TEST_00313,1473
TEST_00314,1473
TEST_00315,1473
TEST_00316,1473
TEST_00317,1473
TEST_00318,1473
TEST_00319,1473
TEST_00320,1473
TEST_00321,1473
TEST_00322,1473
TEST_00323,1473
TEST_00324,1473
TEST_00325,1473
TEST_00326,1473
TEST_00327,1473
TEST_00328,1473
TEST_00329,1473
TEST_00330,1473
TEST_00331,1473
TEST_00332,1473
TEST_00333,1473
TEST_00334,1473
TEST_00335,1473
TEST_00336,1473
TEST_00337,1473
TEST_00338,1473
TEST_00339,1473
TEST_00340,1473
TEST_00341,1473
TEST_00342,1473
TEST_00343,1473
TEST_00344,1473
TEST_00345,1473
TEST_00346,1473
TEST_00347,1473
TEST_00348,1473
TEST_00349,1473
TEST_00350,1473
TEST_00351,1473
TEST_00352,1473
TEST_00353,1473
TEST_00354,1473
TEST_00355,1473
TEST_00356,1473
TEST_00357,1473
TEST_00358,1473
TEST_00359,1473
TEST_00360,1473
TEST_00361,1473
TEST_00362,1473
TEST_00363,1473
TEST_00364,1473
TEST_00365,1473
TEST_00366,1473
TEST_00367,1473
TEST_00368,1473
TEST_00369,1473
TEST_00370,1473
TEST_00371,1473
TEST_00372,1473
TEST_00373,1473
TEST_00374,1473
TEST_00375,1473
TEST_00376,1473
TEST_00377,1473
TEST_00378,1473
TEST_00379,1473
TEST_00380,1473
TEST_00381,1473
TEST_00382,1473
TEST_00383,1473
TEST_00384,1473
TEST_00385,1473
TEST_00386,1473
TEST_00387,1473
TEST_00388,1473
TEST_00389,1473
TEST_00390,1473
TEST_00391,1473
TEST_00392,1473
TEST_00393,1473
TEST_00394,1473
TEST_00395,1473
TEST_00396,1473
TEST_00397,1473
TEST_00398,1473
TEST_00399,1473
TEST_00400,1473
TEST_00401,1473
TEST_00402,1473
TEST_00403,1473
TEST_00404,1473
TEST_00405,1473
TEST_00406,1473
TEST_00407,1473
TEST_00408,1473
TEST_00409,1473
TEST_00410,1473
TEST_00411,1473
TEST_00412,1473
TEST_00413,1473
TEST_00414,1473
TEST_00415,1473
TEST_00416,1473
TEST_00417,1473
TEST_00418,1473
TEST_00419,1473
TEST_00420,1473
TEST_00421,1473
