index,quality
0,6
1,5
2,5
3,6
4,6
5,5
6,6
7,6
8,6
9,6
10,6
11,5
12,7
13,6
14,6
15,5
16,5
17,7
18,5
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,5
28,5
29,5
30,7
31,6
32,5
33,5
34,5
35,6
36,5
37,5
38,6
39,5
40,6
41,6
42,6
43,6
44,6
45,6
46,5
47,6
48,5
49,7
50,5
51,5
52,6
53,5
54,5
55,6
56,6
57,5
58,5
59,6
60,5
61,5
62,5
63,6
64,6
65,7
66,6
67,5
68,6
69,5
70,5
71,5
72,5
73,5
74,6
75,5
76,5
77,6
78,6
79,6
80,6
81,6
82,5
83,5
84,6
85,6
86,5
87,5
88,6
89,7
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,5
101,5
102,5
103,5
104,5
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,5
114,5
115,6
116,5
117,6
118,7
119,6
120,6
121,5
122,6
123,7
124,5
125,5
126,6
127,6
128,6
129,6
130,5
131,5
132,6
133,5
134,5
135,6
136,5
137,7
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,6
147,5
148,7
149,6
150,5
151,7
152,6
153,5
154,6
155,5
156,6
157,6
158,6
159,5
160,5
161,5
162,6
163,6
164,6
165,6
166,5
167,6
168,5
169,5
170,5
171,5
172,6
173,5
174,6
175,5
176,6
177,5
178,6
179,5
180,6
181,5
182,5
183,7
184,5
185,6
186,6
187,6
188,5
189,6
190,6
191,6
192,6
193,6
194,5
195,6
196,6
197,5
198,6
199,5
200,6
201,5
202,5
203,5
204,5
205,5
206,6
207,6
208,6
209,5
210,7
211,5
212,5
213,6
214,6
215,6
216,6
217,5
218,6
219,6
220,6
221,6
222,6
223,6
224,7
225,6
226,6
227,5
228,6
229,5
230,6
231,6
232,7
233,6
234,6
235,6
236,5
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,5
249,7
250,6
251,5
252,7
253,7
254,6
255,6
256,6
257,7
258,6
259,6
260,6
261,5
262,5
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,5
272,5
273,5
274,6
275,5
276,7
277,6
278,5
279,6
280,6
281,6
282,6
283,5
284,7
285,6
286,6
287,6
288,5
289,6
290,5
291,5
292,5
293,6
294,5
295,6
296,7
297,5
298,5
299,7
300,6
301,5
302,5
303,5
304,6
305,5
306,5
307,6
308,5
309,5
310,5
311,5
312,6
313,5
