ID,Calories_Burned
TEST_0000,171.39255744422817
TEST_0001,193.5904350076526
TEST_0002,51.94886813195925
TEST_0003,160.65333281704864
TEST_0004,219.95535079777162
TEST_0005,177.62778315097356
TEST_0006,95.62766954737927
TEST_0007,47.23001826818132
TEST_0008,82.04017659614807
TEST_0009,58.52630703233159
TEST_0010,127.60666865386267
TEST_0011,54.420597658259595
TEST_0012,12.914322917119902
TEST_0013,152.44369838801904
TEST_0014,211.7911139407978
TEST_0015,12.894760367525661
TEST_0016,101.31627491117624
TEST_0017,131.89711171632888
TEST_0018,160.7072472945422
TEST_0019,7.25121320295951
TEST_0020,51.7029699846968
TEST_0021,94.66452439001296
TEST_0022,27.48317967620976
TEST_0023,88.60128893058408
TEST_0024,20.233408644549897
TEST_0025,136.4934628551643
TEST_0026,104.44748558377758
TEST_0027,193.37911188199516
TEST_0028,123.3809743872526
TEST_0029,101.67495737947112
TEST_0030,23.820094641919447
TEST_0031,243.16430738718344
TEST_0032,57.62470280335933
TEST_0033,47.87477640564146
TEST_0034,125.92786893129231
TEST_0035,117.79287916229637
TEST_0036,35.85803801437202
TEST_0037,131.4383325919869
TEST_0038,11.267542482801176
TEST_0039,128.6582273676016
TEST_0040,204.1743542031714
TEST_0041,168.0236699609282
TEST_0042,144.588732494751
TEST_0043,60.347948868004714
TEST_0044,63.9769309809414
TEST_0045,51.4925844292533
TEST_0046,75.20697233470729
TEST_0047,195.75325659820604
TEST_0048,135.1152169566235
TEST_0049,127.99989139538046
TEST_0050,10.805407751496555
TEST_0051,111.28963051498711
TEST_0052,159.73668110317013
TEST_0053,97.88133588116447
TEST_0054,66.71244506009181
TEST_0055,93.05984879201895
TEST_0056,168.44167861916566
TEST_0057,16.165740614165667
TEST_0058,32.35555576348782
TEST_0059,95.88801741134213
TEST_0060,39.70458102022801
TEST_0061,108.28611390953093
TEST_0062,89.38389367990222
TEST_0063,49.13957151214043
TEST_0064,35.381352934269586
TEST_0065,136.63144416582588
TEST_0066,228.75789286409545
TEST_0067,126.86847008460494
TEST_0068,97.99708403767583
TEST_0069,42.88650712233053
TEST_0070,126.72685477063558
TEST_0071,30.842865453301755
TEST_0072,8.313894641165753
TEST_0073,153.27268874862227
TEST_0074,32.84199680854294
TEST_0075,88.25948288532356
TEST_0076,64.57258719066711
TEST_0077,71.3120033061652
TEST_0078,42.6857718423226
TEST_0079,179.21717964382867
TEST_0080,170.94727096674407
TEST_0081,138.7635575345659
TEST_0082,94.57961673718927
TEST_0083,106.30462614456341
TEST_0084,59.06180885715975
TEST_0085,183.59450022194315
TEST_0086,130.3699845490662
TEST_0087,17.092278200453954
TEST_0088,151.91250909533986
TEST_0089,42.343643984793516
TEST_0090,40.85855939167346
TEST_0091,37.78070025114532
TEST_0092,26.254276670442763
TEST_0093,194.10579505723777
TEST_0094,6.6934485561631725
TEST_0095,10.012803172685347
TEST_0096,237.38279038756212
TEST_0097,125.58512778438885
TEST_0098,192.876434000324
TEST_0099,166.94678903181688
TEST_0100,13.64266260210378
TEST_0101,101.82641606961711
TEST_0102,189.47231308193216
TEST_0103,165.92534617739045
TEST_0104,59.9766945653503
TEST_0105,162.40018314249218
TEST_0106,36.9452185888899
TEST_0107,20.74262046878131
TEST_0108,184.49043478338186
TEST_0109,28.45548319735819
TEST_0110,111.0025788606603
TEST_0111,183.90492679098912
TEST_0112,45.60439618726493
TEST_0113,147.39432721398987
TEST_0114,54.30895435861548
TEST_0115,82.92240872831735
TEST_0116,77.17147740496455
TEST_0117,66.46024181479876
