id,count
0,95.86983
1,276.58624
2,61.060894
4,101.222626
5,113.66591
10,138.61174
11,151.17145
12,260.70892
15,72.44183
17,28.57315
18,262.53635
23,260.23468
25,220.88185
26,79.55456
31,229.78021
39,226.0213
40,54.879894
41,136.87064
42,
43,210.69032
51,252.2706
52,71.57683
54,90.01308
60,183.16647
61,246.2734
62,167.86484
63,47.96298
65,148.76933
66,129.1819
68,236.07864
71,49.113895
80,86.753685
82,
94,216.6282
98,240.68323
101,84.02555
102,192.23149
107,101.03345
112,294.52097
113,81.54489
115,
116,187.11652
120,97.45502
121,86.31641
122,264.5241
132,196.39505
143,37.37086
147,
150,68.090576
151,65.10713
152,242.57925
153,88.69335
155,80.535995
156,106.68266
159,234.90791
161,93.95889
163,84.69014
177,200.95886
186,88.96518
188,63.765125
190,83.57643
191,99.801575
192,217.86682
195,255.0129
200,211.28444
209,243.95712
210,73.726974
211,313.27966
214,203.0683
215,86.701965
218,177.3929
219,44.16029
222,106.768036
225,64.549736
228,276.339
236,250.67981
241,84.441086
242,206.66165
243,276.39502
245,69.105705
247,259.018
251,230.77512
252,91.117424
253,64.46461
254,83.28418
258,245.96106
260,
261,216.0971
265,62.291737
266,237.13037
267,256.88562
269,193.60374
270,
275,176.4747
278,81.72469
279,54.546593
286,112.02869
287,63.16447
288,242.63803
289,208.03113
293,88.074265
294,221.9234
297,
302,125.481186
303,73.33694
304,119.69151
307,148.18782
309,66.42524
311,241.88055
312,146.56726
314,241.12012
315,260.98807
319,225.518
322,177.59332
323,
325,240.76894
327,242.17767
330,63.362965
332,241.39877
333,84.786606
338,174.69109
341,83.07962
345,151.95761
348,173.22368
349,96.362656
350,128.65205
352,
355,50.029423
356,
358,
363,202.81146
369,223.96785
371,69.876305
372,250.04034
375,262.0061
380,250.26108
388,85.065704
391,
392,222.37846
393,253.62753
394,95.82547
396,58.505054
401,67.277374
407,55.625183
409,82.3598
410,151.49414
416,131.86076
418,128.20204
420,226.32935
421,273.0936
422,225.4632
424,272.91745
428,242.66422
429,281.2495
431,204.34195
435,22.143026
439,117.05754
441,37.353493
447,77.001076
449,266.67456
451,244.55302
452,85.79344
454,220.0153
458,273.16498
463,204.5068
467,74.24843
470,134.89404
471,174.15964
474,244.67493
478,92.627556
483,115.26163
484,196.46236
485,77.36841
486,200.08484
491,154.06854
494,112.40262
495,242.33755
497,220.547
499,276.51578
515,157.45378
518,213.46979
521,107.30726
525,
529,229.7079
532,192.5244
534,59.374516
540,77.35056
544,280.61038
547,221.44806
549,89.78112
563,58.527584
564,240.9707
567,133.37196
572,199.84863
577,233.48318
578,270.31534
585,265.5312
588,260.91553
589,226.2247
590,140.8652
592,85.67704
594,131.49956
596,79.474884
598,276.5122
599,214.50108
605,90.7103
606,181.73051
607,238.13022
608,231.88196
609,
610,228.56577
611,109.709236
614,
615,195.94958
616,229.06665
617,177.57599
618,238.24362
624,132.98726
629,210.97995
631,93.6147
633,96.73659
637,80.10866
638,183.63458
643,
644,203.57349
645,66.295425
646,216.48279
648,185.93277
650,77.7412
651,111.93487
652,262.6487
656,184.74472
657,94.6436
659,78.55706
660,205.08824
662,164.74406
665,244.75037
675,
681,184.97931
682,205.73785
685,68.71861
686,240.66937
689,76.098526
696,180.03201
703,227.22888
704,148.73958
705,179.56218
714,219.05244
717,81.882866
718,87.63892
720,84.53909
721,267.43103
723,234.18005
726,109.660095
728,250.37018
730,109.902565
731,86.0166
734,287.36884
737,54.766666
738,80.33174
745,285.9655
746,81.40612
749,210.90201
752,73.26224
753,90.08191
758,222.23148
765,99.44992
766,256.6448
768,68.72878
769,244.81638
774,201.58713
775,125.40177
781,
784,240.56775
794,106.36673
795,257.58136
796,72.36444
802,139.40265
803,111.03533
805,69.4704
806,248.73172
807,155.37837
809,62.28829
810,234.23373
812,97.68444
814,124.66663
818,222.32532
819,267.58838
825,8.954889
836,112.68865
839,194.99966
847,255.46536
848,96.19068
851,235.87872
852,201.72379
853,33.842697
857,218.3501
858,92.70279
859,225.1192
861,21.42096
867,176.48932
870,221.32736
871,242.81955
872,274.62494
874,289.33133
881,261.00427
886,196.1031
890,
895,208.34448
899,71.7662
900,232.29526
901,249.73938
902,244.51904
903,89.26032
913,269.0106
918,257.86392
923,183.15225
924,67.27287
926,58.813206
927,82.597115
930,220.02103
934,54.246403
937,207.91048
939,158.02728
941,98.312164
942,269.22946
946,247.65591
950,152.31367
953,82.98967
959,46.11397
961,50.19721
962,97.4966
964,96.10545
969,211.60233
971,175.6625
976,76.38544
978,231.86426
980,249.97972
981,209.56686
990,256.73444
993,70.16157
996,80.75165
998,281.34454
999,225.77237
1006,184.34128
1008,81.08591
1013,86.51268
1015,145.32112
1016,212.3468
1022,249.07977
1026,229.04495
1028,253.67038
1031,30.15458
1034,
1037,241.9953
1040,
1042,77.0782
1046,106.82837
1048,131.15532
1049,174.03168
1050,
1051,245.47119
1052,239.38554
1055,103.76432
1060,192.27512
1064,103.74327
1066,76.66343
1071,201.6735
1073,80.58032
1089,247.1872
1091,150.26831
1092,67.38785
1093,243.96753
1096,256.62094
1097,220.48969
1098,60.760258
1099,74.933426
1102,251.61987
1107,95.91687
1109,91.56241
1111,33.472782
1112,160.15813
1114,291.75226
1116,242.15506
1117,219.33304
1118,83.2395
1122,
1124,219.42784
1127,124.12981
1133,271.6897
1134,69.20772
1135,190.76755
1139,264.67996
1143,
1150,102.39874
1151,147.06631
1153,247.56195
1155,66.876396
1162,64.89536
1163,204.97806
1166,23.792042
1171,78.037415
1172,65.27749
1173,255.32266
1174,99.32933
1177,124.852325
1178,111.66734
1184,107.31143
1185,153.52603
1186,104.25565
1187,232.9808
1188,267.2449
1191,209.98119
1207,142.02339
1213,92.65297
1215,216.49948
1223,250.27588
1227,164.87328
1236,
1237,
1238,106.25021
1241,64.39101
1248,85.42867
1250,70.42702
1251,228.06943
1253,123.46117
1255,160.30879
1257,282.07538
1261,130.59071
1262,252.41791
1265,196.15524
1273,256.7989
1277,258.21286
1278,158.50876
1280,111.352684
1284,207.8872
1285,258.15842
1288,97.22425
1295,148.51346
1297,289.11108
1299,259.2295
1304,216.26456
1308,68.48946
1310,149.86609
1311,173.8691
1314,95.83125
1315,157.28975
1318,26.32252
1320,274.9369
1321,240.68819
