시도별,합계:면적 (ha),생산량 (톤),논벼:면적 (ha),10a당 생산량 (kg),생산량 (톤),밭벼:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,732477,3881601,732070,530,3880312,407,317,1289
서울특별시,187,958,187,512,958,0,0,0
부산광역시,2169,11523,2169,531,11523,0,0,0
대구광역시,2847,14895,2847,523,14895,0,0,0
인천광역시,11747,59550,11747,507,59550,0,220,0
광주광역시,4916,25064,4910,510,25047,6,269,17
대전광역시,1131,6025,1131,533,6025,0,0,0
울산광역시,3793,18837,3793,497,18837,0,0,0
세종특별자치시,3340,18281,3340,547,18281,0,0,0
경기도,74717,382680,74717,512,382680,0,220,0
강원도,28903,155501,28903,538,155501,0,0,0
충청북도,33403,174848,33403,523,174848,0,226,0
충청남도,135399,773013,135398,571,773012,1,226,1
전라북도,114509,593861,114509,519,593861,0,0,0
전라남도,155435,789650,155101,508,788567,334,324,1082
경상북도,95837,518025,95830,541,518007,7,273,19
경상남도,64079,338698,64079,529,338698,0,0,0
제주도,65,189,6,382,21,59,285,168
