Id,SalePrice
1461,109679.71
1462,189147.9
1463,178612.05
1464,202391.31
1465,173093.56
1466,191775.64
1467,0.0
1468,181435.7
1469,193206.52
1470,136770.05
1471,203095.39
1472,109303.63
1473,99977.82
1474,159077.98
1475,103056.13
1476,330038.5
1477,233809.14
1478,323522.5
1479,308936.5
1480,415101.94
1481,293862.62
1482,197736.33
1483,178794.8
1484,172314.19
1485,204188.64
1486,211268.16
1487,291931.34
1488,246013.95
1489,185688.45
1490,248265.55
1491,218450.4
1492,79102.37
1493,276586.25
1494,303414.06
1495,285707.8
1496,269447.84
1497,167413.03
1498,172847.53
1499,168202.11
1500,161635.48
1501,0.0
1502,0.0
1503,288074.0
1504,243807.22
1505,223315.05
1506,0.0
1507,250178.17
1508,0.0
1509,154048.1
1510,137746.0
1511,162661.77
1512,171147.61
1513,0.0
1514,0.0
1515,191803.77
1516,158035.27
1517,168158.48
1518,114075.664
1519,214648.2
1520,0.0
1521,131810.25
1522,168743.5
1523,91746.18
1524,109698.88
1525,103743.31
1526,82442.305
1527,97292.945
1528,138295.39
1529,140867.7
1530,196519.31
1531,171535.17
1532,0.0
1533,143300.61
1534,135364.86
1535,155265.05
1536,0.0
1537,69812.28
1538,118634.555
1539,238282.53
1540,0.0
1541,157724.58
1542,142337.8
1543,0.0
1544,72814.5
1545,92523.78
1546,144646.86
1547,140208.19
1548,117496.48
1549,132849.73
1550,130350.34
1551,128753.15
1552,146970.1
1553,0.0
1554,99757.945
1555,153965.67
1556,105171.64
1557,0.0
1558,112531.8
1559,0.0
1560,148954.27
1561,0.0
1562,144677.5
1563,116336.11
1564,0.0
1565,158285.83
1566,0.0
1567,86373.38
1568,0.0
1569,155951.94
1570,147121.3
1571,120342.8
1572,148059.05
1573,225503.55
1574,0.0
1575,217006.67
1576,278205.3
1577,185053.53
1578,160989.3
1579,132094.81
1580,0.0
1581,160629.47
1582,122253.62
1583,283150.12
1584,227199.11
1585,0.0
1586,84747.79
1587,99559.38
1588,142203.95
1589,94297.79
1590,127165.74
1591,0.0
1592,121553.0
1593,0.0
1594,0.0
1595,0.0
1596,229954.45
1597,155188.89
1598,192778.12
1599,173325.77
1600,171396.31
1601,88632.6
1602,128384.76
1603,96655.734
1604,264282.25
1605,253493.8
1606,154037.83
1607,0.0
1608,251665.05
1609,190640.94
1610,167494.58
1611,133182.33
1612,202146.11
1613,0.0
1614,140220.53
1615,0.0
1616,0.0
1617,88845.16
1618,131784.27
1619,141590.67
1620,172883.25
1621,132968.11
1622,168835.36
1623,252581.92
1624,209430.8
1625,119255.87
1626,175317.05
1627,204053.11
1628,0.0
1629,187620.42
1630,358068.0
1631,230321.31
1632,208892.5
1633,183701.72
1634,202203.67
1635,0.0
1636,183444.19
1637,199399.92
1638,0.0
1639,176417.86
1640,0.0
1641,192045.45
1642,277462.2
1643,0.0
1644,0.0
1645,0.0
1646,179719.05
1647,171919.02
1648,0.0
1649,0.0
1650,107267.164
1651,127910.664
1652,106990.44
1653,100569.586
1654,159933.89
1655,160508.27
1656,154522.17
1657,145106.27
1658,168852.42
1659,108096.375
1660,0.0
1661,415691.2
1662,348027.44
1663,363698.34
1664,426316.84
1665,310698.62
1666,335877.1
1667,347794.06
1668,367078.84
1669,353045.1
1670,372352.7
1671,247574.23
1672,398453.3
1673,298529.56
1674,240515.36
1675,198655.78
1676,200012.45
1677,195260.95
1678,422016.56
1679,398839.56
1680,311687.25
1681,251935.27
1682,307079.5
1683,183510.14
1684,205934.86
1685,217655.67
1686,191482.94
1687,194238.58
1688,213361.58
1689,219548.17
1690,0.0
1691,0.0
1692,0.0
1693,187746.38
1694,201714.33
1695,174603.7
1696,0.0
1697,176267.48
1698,321105.62
1699,0.0
1700,255256.12
1701,0.0
1702,245989.14
1703,263401.06
1704,282362.03
1705,302987.25
1706,385981.8
1707,0.0
1708,198430.83
1709,268188.56
1710,222833.36
1711,314359.84
1712,251458.45
1713,269984.97
1714,227020.33
1715,219404.89
1716,169763.17
1717,183499.92
1718,0.0
1719,213852.16
1720,273579.22
1721,162842.98
1722,0.0
1723,164439.83
1724,217376.33
1725,255128.08
1726,216558.45
1727,147299.39
1728,220302.48
1729,0.0
1730,145964.52
1731,130142.96
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,123491.586
1737,0.0
1738,0.0
1739,260769.4
1740,0.0
1741,0.0
1742,175047.45
1743,184829.42
1744,0.0
1745,189704.81
1746,201090.64
1747,0.0
1748,229859.55
1749,177950.89
1750,120849.07
1751,0.0
1752,124545.02
1753,146341.8
1754,204140.0
1755,0.0
1756,139374.88
1757,119646.336
1758,0.0
1759,0.0
1760,172216.27
1761,148968.88
1762,0.0
1763,182131.66
1764,115555.43
1765,143220.33
1766,180328.58
1767,220083.92
1768,138802.22
1769,0.0
1770,166599.02
1771,113399.31
1772,114895.18
1773,132986.83
1774,136212.86
1775,142508.36
1776,114657.805
1777,107007.87
1778,139111.7
1779,131101.33
1780,206263.23
1781,131694.14
1782,88930.46
1783,151345.4
1784,102941.07
1785,101073.93
1786,111940.03
1787,185440.16
1788,0.0
1789,93291.52
1790,82823.21
1791,187728.62
1792,143184.2
1793,151913.77
1794,164212.27
1795,114134.85
1796,144313.84
1797,124931.05
1798,111027.79
1799,107037.81
1800,115125.164
1801,120862.195
1802,130388.63
1803,150371.11
1804,145128.05
1805,144190.64
1806,130490.76
1807,119703.54
1808,123147.29
1809,0.0
1810,139544.97
1811,0.0
1812,0.0
1813,113966.98
1814,98332.87
1815,67329.28
1816,97608.54
1817,112626.77
1818,164488.03
1819,146873.27
1820,0.0
1821,114384.04
1822,171747.31
1823,0.0
1824,0.0
1825,137512.28
1826,131118.89
1827,87000.086
1828,122573.37
1829,139429.3
1830,139709.33
1831,136407.23
1832,0.0
1833,150445.23
1834,0.0
1835,0.0
1836,93969.93
1837,0.0
1838,105474.54
1839,120587.65
1840,0.0
1841,0.0
1842,83682.98
1843,138159.36
1844,0.0
1845,126899.53
1846,153005.64
1847,0.0
1848,0.0
1849,0.0
1850,96379.27
1851,138727.67
1852,135067.3
1853,138098.5
1854,174208.7
1855,164012.06
1856,239623.67
1857,152482.52
1858,118139.336
1859,106822.836
1860,142859.47
1861,108530.82
1862,0.0
1863,0.0
1864,0.0
1865,335022.28
1866,341540.38
